PubSEED Abreviation	VMH Abbreviation	VMH Description	VMH Formula
UidABC	BHPM_GLCabc	Predicted glucuronide ABC transporter Bis-(P-Hydroxy-Phenyl)-Pyridyl-2-Methane Glucuronide	atp[c] + bhpm_glc[e] + h2o[c] -> adp[c] + bhpm_glc[c] + h[c] + pi[c]
UidABC	BILR_M10abc	Predicted glucuronide ABC transporter BILR M10	atp[c] + bilr_M10[e] + h2o[c] -> adp[c] + bilr_M10[c] + h[c] + pi[c]
UidABC	BILR_M12abc	Predicted glucuronide ABC transporter BILR M12	atp[c] + bilr_M12[e] + h2o[c] -> adp[c] + bilr_M12[c] + h[c] + pi[c]
UidABC	BILR_M15abc	Predicted glucuronide ABC transporter BILR M15	atp[c] + bilr_M15[e] + h2o[c] -> adp[c] + bilr_M15[c] + h[c] + pi[c]
UidABC	BILR_M16abc	Predicted glucuronide ABC transporter BILR M16	atp[c] + bilr_M16[e] + h2o[c] -> adp[c] + bilr_M16[c] + h[c] + pi[c]
UidABC	BSN_GLCabc	Predicted glucuronide ABC transporter Bosentan Glucuronide	atp[c] + bsn_glc[e] + h2o[c] -> adp[c] + bsn_glc[c] + h[c] + pi[c]
UidABC	BZ_GLCabc	Predicted glucuronide ABC transporter Benzoic Acid Glucuronide	atp[c] + bz_glc[e] + h2o[c] -> adp[c] + bz_glc[c] + h[c] + pi[c]
UidABC	CARIBUPGLU_Sabc	Predicted glucuronide ABC transporter (in),S-carboxy ibuprofen glucuronide	atp[c] + caribupglu_S[e] + h2o[c] -> adp[c] + caribupglu_S[c] + h[c] + pi[c]
UidABC	CBZ_GLCabc	Predicted glucuronide ABC transporter Carbamazepine Glucuronide	atp[c] + cbz_glc[e] + h2o[c] -> adp[c] + cbz_glc[c] + h[c] + pi[c]
UidABC	CD6168_GLCabc	Predicted glucuronide ABC transporter CD6168 Glucuronide	atp[c] + cd6168_glc[e] + h2o[c] -> adp[c] + cd6168_glc[c] + h[c] + pi[c]
UidABC	CHLPHNCL_GLCabc	Predicted glucuronide ABC transporter Chloramphenicol 3-Glucuronide	atp[c] + chlphncl_glc[e] + h2o[c] -> adp[c] + chlphncl_glc[c] + h[c] + pi[c]
UidABC	CLCXB_C_GLCabc	Predicted glucuronide ABC transporter Carboxycelecoxib Glucuronide	atp[c] + clcxb_c_glc[e] + h2o[c] -> adp[c] + clcxb_c_glc[c] + h[c] + pi[c]
UidABC	CLCXB_GLCabc	Predicted glucuronide ABC transporter Celecoxib Glucuronide	atp[c] + clcxb_glc[e] + h2o[c] -> adp[c] + clcxb_glc[c] + h[c] + pi[c]
UidABC	CLOBI_GLCabc	Predicted glucuronide ABC transporter Clopidogrel Acyl-Beta-D-Glucuronide	atp[c] + clobi_glc[e] + h2o[c] -> adp[c] + clobi_glc[c] + h[c] + pi[c]
UidABC	CVM1GLUCabc	Predicted glucuronide ABC transporter cerivastatin-M1-glucuronide	atp[c] + cvm1gluc[e] + h2o[c] -> adp[c] + cvm1gluc[c] + h[c] + pi[c]
UidABC	CVM23GLUCabc	Predicted glucuronide ABC transporter cerivastatin-M23-glucuronide	atp[c] + cvm23gluc[e] + h2o[c] -> adp[c] + cvm23gluc[c] + h[c] + pi[c]
UidABC	DAA_GLCabc	Predicted glucuronide ABC transporter Deaminated Amiodarone Glucuronide (M14)	atp[c] + daa_glc[e] + h2o[c] -> adp[c] + daa_glc[c] + h[c] + pi[c]
UidABC	DCF_GLCabc	Predicted glucuronide ABC transporter Diclofenac Acyl Glucuronide	atp[c] + dcf_glc[e] + h2o[c] -> adp[c] + dcf_glc[c] + h[c] + pi[c]
UidABC	DDEA_GLCabc	Predicted glucuronide ABC transporter Di-N-Desethylamiodarone Glucuronide Conjugate (DDEA_Glc)	atp[c] + ddea_glc[e] + h2o[c] -> adp[c] + ddea_glc[c] + h[c] + pi[c]
UidABC	DES_ASTZL_GLCabc	Predicted glucuronide ABC transporter Desmethylastemozole Glucuronide	atp[c] + des_astzl_glc[e] + h2o[c] -> adp[c] + des_astzl_glc[c] + h[c] + pi[c]
UidABC	DIGOXIN_GLCabc	Predicted glucuronide ABC transporter Digoxin 16-Glucuronide	atp[c] + digoxin_glc[e] + h2o[c] -> adp[c] + digoxin_glc[c] + h[c] + pi[c]
UidABC	DLB_GLCabc	Predicted glucuronide ABC transporter Deleobuvir Glucuronide	atp[c] + dlb_glc[e] + h2o[c] -> adp[c] + dlb_glc[c] + h[c] + pi[c]
UidABC	DNPZ_M11abc	Predicted glucuronide ABC transporter Donepezil Metabolite M11	atp[c] + dnpz_m11[e] + h2o[c] -> adp[c] + dnpz_m11[c] + h[c] + pi[c]
UidABC	DNPZ_M12abc	Predicted glucuronide ABC transporter Donepezil Metabolite M12	atp[c] + dnpz_m12[e] + h2o[c] -> adp[c] + dnpz_m12[c] + h[c] + pi[c]
UidABC	DNPZ_M13abc	Predicted glucuronide ABC transporter Donepezil Metabolite M13	atp[c] + dnpz_m13[e] + h2o[c] -> adp[c] + dnpz_m13[c] + h[c] + pi[c]
UidABC	DNPZ_M14abc	Predicted glucuronide ABC transporter Donepezil Metabolite M14	atp[c] + dnpz_m14[e] + h2o[c] -> adp[c] + dnpz_m14[c] + h[c] + pi[c]
UidABC	DOH_ETR_GLCabc	Predicted glucuronide ABC transporter Etravarine Dihydroxylated Glucuronide	atp[c] + doh_etr_glc[e] + h2o[c] -> adp[c] + doh_etr_glc[c] + h[c] + pi[c]
UidABC	DOH_VCZ_GLCabc	Predicted glucuronide ABC transporter Dihydroxyvoriconazole Glucuronide	atp[c] + doh_vcz_glc[e] + h2o[c] -> adp[c] + doh_vcz_glc[c] + h[c] + pi[c]
UidABC	DXO_GLCabc	Predicted glucuronide ABC transporter Dextrorphan O-Glucuronide	atp[c] + dxo_glc[e] + h2o[c] -> adp[c] + dxo_glc[c] + h[c] + pi[c]
UidABC	EFV_GLCabc	Predicted glucuronide ABC transporter Efavirenz Glucuronide	atp[c] + efv_glc[e] + h2o[c] -> adp[c] + efv_glc[c] + h[c] + pi[c]
UidABC	ELTR_GLCabc	Predicted glucuronide ABC transporter Eltrombopag Glucuronide (M2)	atp[c] + eltr_glc[e] + h2o[c] -> adp[c] + eltr_glc[c] + h[c] + pi[c]
UidABC	ELTR_M3abc	Predicted glucuronide ABC transporter Eltrombopag M3 (Glucuronide Conjugate)	atp[c] + eltr_m3[e] + h2o[c] -> adp[c] + eltr_m3[c] + h[c] + pi[c]
UidABC	ELTR_M4abc	Predicted glucuronide ABC transporter Eltrombopag M4 (Glucuronide Conjugate)	atp[c] + eltr_m4[e] + h2o[c] -> adp[c] + eltr_m4[c] + h[c] + pi[c]
UidABC	EZTMB_GLCabc	Predicted glucuronide ABC transporter Ezetimibe Glucuronide	atp[c] + eztmb_glc[e] + h2o[c] -> adp[c] + eztmb_glc[c] + h[c] + pi[c]
UidABC	FVSGLUCabc	Predicted glucuronide ABC transporter fluvstatin-glucuronide	atp[c] + fvsgluc[e] + h2o[c] -> adp[c] + fvsgluc[c] + h[c] + pi[c]
UidABC	FVSTETGLUabc	Predicted glucuronide ABC transporter des-isopropyl-dihydro-fluvastatin-tetranor-glucuronide	atp[c] + fvstetglu[e] + h2o[c] -> adp[c] + fvstetglu[c] + h[c] + pi[c]
UidABC	GLC3MEACPabc	Predicted glucuronide ABC transporter glucuronide-conjugate of 3-methoxy-acetaminophen	atp[c] + glc3meacp[e] + h2o[c] -> adp[c] + glc3meacp[c] + h[c] + pi[c]
UidABC	GLTMN_GLCabc	Predicted glucuronide ABC transporter Galantamine Glucuronide	atp[c] + gltmn_glc[e] + h2o[c] -> adp[c] + gltmn_glc[c] + h[c] + pi[c]
UidABC	GMFL_GLCabc	Predicted glucuronide ABC transporter Gemfibrozil 1-O-Beta-Glucuronide	atp[c] + gmfl_glc[e] + h2o[c] -> adp[c] + gmfl_glc[c] + h[c] + pi[c]
UidABC	GMFL_MI_GLCabc	Predicted glucuronide ABC transporter M1 Glucuronide	atp[c] + gmfl_mI_glc[e] + h2o[c] -> adp[c] + gmfl_mI_glc[c] + h[c] + pi[c]
UidABC	GMFL_MII_GLCabc	Predicted glucuronide ABC transporter M2 Glucuronide	atp[c] + gmfl_mII_glc[e] + h2o[c] -> adp[c] + gmfl_mII_glc[c] + h[c] + pi[c]
UidABC	GMFL_MIII_GLCabc	Predicted glucuronide ABC transporter M3 Glucuronide	atp[c] + gmfl_mIII_glc[e] + h2o[c] -> adp[c] + gmfl_mIII_glc[c] + h[c] + pi[c]
UidABC	GTACMPabc	Predicted glucuronide ABC transporter glucuronide-thiomethyl-acetaminophen conjugate	atp[c] + gtacmp[e] + h2o[c] -> adp[c] + gtacmp[c] + h[c] + pi[c]
UidABC	HST_3_GLCabc	Predicted glucuronide ABC transporter Hesperetin 3-O-Glucuronide (Aglycone Of Hesperidin)	atp[c] + hst_3_glc[e] + h2o[c] -> adp[c] + hst_3_glc[c] + h[c] + pi[c]
UidABC	HST_37_DIGLCabc	Predicted glucuronide ABC transporter Hesperetin 3,7-Diglucuronide	atp[c] + hst_37_diglc[e] + h2o[c] -> adp[c] + hst_37_diglc[c] + h[c] + pi[c]
UidABC	HST_3GLC_7Sabc	Predicted glucuronide ABC transporter Hesperetin 3-O-Glucuronide 7-Sulfate	atp[c] + hst_3glc_7s[e] + h2o[c] -> adp[c] + hst_3glc_7s[c] + h[c] + pi[c]
UidABC	HST_7_GLCabc	Predicted glucuronide ABC transporter Hesperetin 7-O-Glucuronide (Aglycone Of Hesperidin)	atp[c] + hst_7_glc[e] + h2o[c] -> adp[c] + hst_7_glc[c] + h[c] + pi[c]
UidABC	HST_7GLC_3Sabc	Predicted glucuronide ABC transporter Hesperetin 7-O-Glucuronide 3-Sulfate	atp[c] + hst_7glc_3s[e] + h2o[c] -> adp[c] + hst_7glc_3s[c] + h[c] + pi[c]
UidABC	IBUPGLUCabc	Predicted glucuronide ABC transporter ibuprofen acyl glucuronide	atp[c] + ibupgluc[e] + h2o[c] -> adp[c] + ibupgluc[c] + h[c] + pi[c]
UidABC	IMN_GLCabc	Predicted glucuronide ABC transporter Indomethacin Glucuronide	atp[c] + imn_glc[e] + h2o[c] -> adp[c] + imn_glc[c] + h[c] + pi[c]
UidABC	INV_M1abc	Predicted glucuronide ABC transporter Indanyl Glucuronide M1	atp[c] + inv_m1[e] + h2o[c] -> adp[c] + inv_m1[c] + h[c] + pi[c]
UidABC	ISOSORBIDE_5MN_GLCabc	Predicted glucuronide ABC transporter Isosorbide 5-Mononitrate 2-Beta-D-Glucuronide	atp[c] + isosorbide_5mn_glc[e] + h2o[c] -> adp[c] + isosorbide_5mn_glc[c] + h[c] + pi[c]
UidABC	KPROFEN_GLCabc	Predicted glucuronide ABC transporter Ketoprofen Glucuronide	atp[c] + kprofen_glc[e] + h2o[c] -> adp[c] + kprofen_glc[c] + h[c] + pi[c]
UidABC	LSTN1GLUCabc	Predicted glucuronide ABC transporter Losartan-N1-glucuronide	atp[c] + lstn1gluc[e] + h2o[c] -> adp[c] + lstn1gluc[c] + h[c] + pi[c]
UidABC	LSTNM4abc	Predicted glucuronide ABC transporter Losartan-M4 (glucuronide derivative)	atp[c] + lstnm4[e] + h2o[c] -> adp[c] + lstnm4[c] + h[c] + pi[c]
UidABC	LSTNM7abc	Predicted glucuronide ABC transporter Losartan-N2-glucuronide / Losartan-M7	atp[c] + lstnm7[e] + h2o[c] -> adp[c] + lstnm7[c] + h[c] + pi[c]
UidABC	MDZ_GLCabc	Predicted glucuronide ABC transporter Midazolam Glucuronide	atp[c] + mdz_glc[e] + h2o[c] -> adp[c] + mdz_glc[c] + h[c] + pi[c]
UidABC	MDZGLCabc	Predicted glucuronide ABC transporter Midazolam-glucuronide	atp[c] + mdzglc[e] + h2o[c] -> adp[c] + mdzglc[c] + h[c] + pi[c]
UidABC	MISO_GLCabc	Predicted glucuronide ABC transporter Misonidazole Glucuronide	atp[c] + miso_glc[e] + h2o[c] -> adp[c] + miso_glc[c] + h[c] + pi[c]
UidABC	MRPHN_3GLCabc	Predicted glucuronide ABC transporter Morphine 3-Glucuronide	atp[c] + mrphn_3glc[e] + h2o[c] -> adp[c] + mrphn_3glc[c] + h[c] + pi[c]
UidABC	MRPHN_6GLCabc	Predicted glucuronide ABC transporter Morphine 6-Glucuronide	atp[c] + mrphn_6glc[e] + h2o[c] -> adp[c] + mrphn_6glc[c] + h[c] + pi[c]
UidABC	MTZ_GLCabc	Predicted glucuronide ABC transporter Metronidazole Beta-D-Glucuronide	atp[c] + mtz_glc[e] + h2o[c] -> adp[c] + mtz_glc[c] + h[c] + pi[c]
UidABC	N_OH_PHTN_GLCabc	Predicted glucuronide ABC transporter N-Hydroxylated Phenacetin Glucuronide	atp[c] + N_oh_phtn_glc[e] + h2o[c] -> adp[c] + N_oh_phtn_glc[c] + h[c] + pi[c]
UidABC	NSLDP_M5_GLCabc	Predicted glucuronide ABC transporter Nisoldipine (M5) Glucuronide	atp[c] + nsldp_m5_glc[e] + h2o[c] -> adp[c] + nsldp_m5_glc[c] + h[c] + pi[c]
UidABC	NVERP_GLCabc	Predicted glucuronide ABC transporter Norverapamil Glucuronide	atp[c] + nverp_glc[e] + h2o[c] -> adp[c] + nverp_glc[c] + h[c] + pi[c]
UidABC	ODSM_EGLTMN_GLCabc	Predicted glucuronide ABC transporter O-Desmethylepigalantamine Glucuronide	atp[c] + odsm_egltmn_glc[e] + h2o[c] -> adp[c] + odsm_egltmn_glc[c] + h[c] + pi[c]
UidABC	ODSM_GLTMN_GLCabc	Predicted glucuronide ABC transporter O-Desmethylgalantamine Glucuronide	atp[c] + odsm_gltmn_glc[e] + h2o[c] -> adp[c] + odsm_gltmn_glc[c] + h[c] + pi[c]
UidABC	OH_ETR_GLCabc	Predicted glucuronide ABC transporter Etravarine Monohydroxylated Glucuronide (M7)	atp[c] + oh_etr_glc[e] + h2o[c] -> adp[c] + oh_etr_glc[c] + h[c] + pi[c]
UidABC	OH_PBL_GLCabc	Predicted glucuronide ABC transporter Phenobarbital O-Glucuronide	atp[c] + oh_pbl_glc[e] + h2o[c] -> adp[c] + oh_pbl_glc[c] + h[c] + pi[c]
UidABC	PHPPA_GLCabc	Predicted glucuronide ABC transporter 3-(3-Hydroxyphenyl)Propionate Glucuronide	atp[c] + phppa_glc[e] + h2o[c] -> adp[c] + phppa_glc[c] + h[c] + pi[c]
UidABC	PHTN_GLCabc	Predicted glucuronide ABC transporter Phenacetin Glucuronide	atp[c] + phtn_glc[e] + h2o[c] -> adp[c] + phtn_glc[c] + h[c] + pi[c]
UidABC	PROB_GLCabc	Predicted glucuronide ABC transporter Probenecid Acyl Beta-D-Glucuronide	atp[c] + prob_glc[e] + h2o[c] -> adp[c] + prob_glc[c] + h[c] + pi[c]
UidABC	PRONT_GLCabc	Predicted glucuronide ABC transporter Prontosil Glucuronide	atp[c] + pront_glc[e] + h2o[c] -> adp[c] + pront_glc[c] + h[c] + pi[c]
UidABC	PROPL_GLCabc	Predicted glucuronide ABC transporter Propranolol Glucuronide	atp[c] + propl_glc[e] + h2o[c] -> adp[c] + propl_glc[c] + h[c] + pi[c]
UidABC	PRX_MI_GLCabc	Predicted glucuronide ABC transporter Paroxetine Mi Glucuronide	atp[c] + prx_mI_glc[e] + h2o[c] -> adp[c] + prx_mI_glc[c] + h[c] + pi[c]
UidABC	PRX_MII_GLCabc	Predicted glucuronide ABC transporter Paroxetine Mii Glucuronide	atp[c] + prx_mII_glc[e] + h2o[c] -> adp[c] + prx_mII_glc[c] + h[c] + pi[c]
UidABC	PTVSTGLUCabc	Predicted glucuronide ABC transporter pitavastatin-glucuronide	atp[c] + ptvstgluc[e] + h2o[c] -> adp[c] + ptvstgluc[c] + h[c] + pi[c]
UidABC	PVSGLUCabc	Predicted glucuronide ABC transporter pravastatin glucuronide	atp[c] + pvsgluc[e] + h2o[c] -> adp[c] + pvsgluc[c] + h[c] + pi[c]
UidABC	R_6OH_WARF_GLCabc	Predicted glucuronide ABC transporter R-6-Hydroxywarfarin Glucuronate	atp[c] + R_6oh_warf_glc[e] + h2o[c] -> adp[c] + R_6oh_warf_glc[c] + h[c] + pi[c]
UidABC	R_7OH_WARF_GLCabc	Predicted glucuronide ABC transporter R-7-Hydroxy Warfarin Glucuronate	atp[c] + R_7oh_warf_glc[e] + h2o[c] -> adp[c] + R_7oh_warf_glc[c] + h[c] + pi[c]
UidABC	R_8OH_WARF_GLCabc	Predicted glucuronide ABC transporter R-8-Hydroxywarfarin Glucuronate	atp[c] + R_8oh_warf_glc[e] + h2o[c] -> adp[c] + R_8oh_warf_glc[c] + h[c] + pi[c]
UidABC	R406_GLCabc	Predicted glucuronide ABC transporter Lactam N-Glucuronide Of R406	atp[c] + r406_glc[e] + h2o[c] -> adp[c] + r406_glc[c] + h[c] + pi[c]
UidABC	R529_GLCabc	Predicted glucuronide ABC transporter Glucuronide R529	atp[c] + r529_glc[e] + h2o[c] -> adp[c] + r529_glc[c] + h[c] + pi[c]
UidABC	REP_GLCabc	Predicted glucuronide ABC transporter Repaglinide Acyl-Beta-D-Glucuronide	atp[c] + rep_glc[e] + h2o[c] -> adp[c] + rep_glc[c] + h[c] + pi[c]
UidABC	RPN_104557_CB_GLCabc	Predicted glucuronide ABC transporter SKF 104557 Carbamyl Glucuronide	atp[c] + rpn_104557_cb_glc[e] + h2o[c] -> adp[c] + rpn_104557_cb_glc[c] + h[c] + pi[c]
UidABC	RPN_96990_GLCabc	Predicted glucuronide ABC transporter SKF 96990 Glucuronide	atp[c] + rpn_96990_glc[e] + h2o[c] -> adp[c] + rpn_96990_glc[c] + h[c] + pi[c]
UidABC	RPN_OH_GLCabc	Predicted glucuronide ABC transporter SKF 89124 Glucuronide	atp[c] + rpn_oh_glc[e] + h2o[c] -> adp[c] + rpn_oh_glc[c] + h[c] + pi[c]
UidABC	RSVGLUCabc	Predicted glucuronide ABC transporter rosuvastatin-glucuronide	atp[c] + rsvgluc[e] + h2o[c] -> adp[c] + rsvgluc[c] + h[c] + pi[c]
UidABC	S_4OH_WARF_GLCabc	Predicted glucuronide ABC transporter S-4-Hydroxywarfarin Glucuronate	atp[c] + S_4oh_warf_glc[e] + h2o[c] -> adp[c] + S_4oh_warf_glc[c] + h[c] + pi[c]
UidABC	S_6OH_WARF_GLCabc	Predicted glucuronide ABC transporter S-6-Hydroxywarfarin Glucuronate	atp[c] + S_6oh_warf_glc[e] + h2o[c] -> adp[c] + S_6oh_warf_glc[c] + h[c] + pi[c]
UidABC	SCH_488128abc	Predicted glucuronide ABC transporter SCH 488128	atp[c] + sch_488128[e] + h2o[c] -> adp[c] + sch_488128[c] + h[c] + pi[c]
UidABC	SCH_57871_GLCabc	Predicted glucuronide ABC transporter SCH 57871 Glucuronide	atp[c] + sch_57871_glc[e] + h2o[c] -> adp[c] + sch_57871_glc[c] + h[c] + pi[c]
UidABC	SFND_1689_GLCabc	Predicted glucuronide ABC transporter Nw 1689 Acyl Glucuronide	atp[c] + sfnd_1689_glc[e] + h2o[c] -> adp[c] + sfnd_1689_glc[c] + h[c] + pi[c]
UidABC	SFTZ_GLCabc	Predicted glucuronide ABC transporter Sulfathiazole Glucuronide	atp[c] + sftz_glc[e] + h2o[c] -> adp[c] + sftz_glc[c] + h[c] + pi[c]
UidABC	SIMVGLUCabc	Predicted glucuronide ABC transporter simvastatin-acyl-glucuronide	atp[c] + simvgluc[e] + h2o[c] -> adp[c] + simvgluc[c] + h[c] + pi[c]
UidABC	SMAP_GLCabc	Predicted glucuronide ABC transporter 2-Sulfamoylacetylphenol Glucuronide	atp[c] + smap_glc[e] + h2o[c] -> adp[c] + smap_glc[c] + h[c] + pi[c]
UidABC	SN38Gabc	Predicted glucuronide ABC transporter SN38 glucuronide	atp[c] + sn38g[e] + h2o[c] -> adp[c] + sn38g[c] + h[c] + pi[c]
UidABC	SPZ_GLCabc	Predicted glucuronide ABC transporter Sulfinpyrazone Glucuronide	atp[c] + spz_glc[e] + h2o[c] -> adp[c] + spz_glc[c] + h[c] + pi[c]
UidABC	SPZ_SFN_GLCabc	Predicted glucuronide ABC transporter Sulfinpyrazone Sulfone Glucuronide	atp[c] + spz_sfn_glc[e] + h2o[c] -> adp[c] + spz_sfn_glc[c] + h[c] + pi[c]
UidABC	STG_M3abc	Predicted glucuronide ABC transporter Sitagliptin M3 (Ether Glucuronide Conjugate Of A Hydroxylated Derivative)	atp[c] + stg_m3[e] + h2o[c] -> adp[c] + stg_m3[c] + h[c] + pi[c]
UidABC	STG_M4abc	Predicted glucuronide ABC transporter Sitagliptin M4 (N-Carbomyl Glucuronide Conjugate)	atp[c] + stg_m4[e] + h2o[c] -> adp[c] + stg_m4[c] + h[c] + pi[c]
UidABC	TATabc	Predicted glucuronide ABC transporter N-(2-Methyl-3-Chlorophenyl)-Anthranilic Acid	atp[c] + tat[e] + h2o[c] -> adp[c] + tat[c] + h[c] + pi[c]
UidABC	TGZ_GLCabc	Predicted glucuronide ABC transporter Troglitazone Glucuronide	atp[c] + tgz_glc[e] + h2o[c] -> adp[c] + tgz_glc[c] + h[c] + pi[c]
UidABC	TLF_A_M1abc	Predicted glucuronide ABC transporter N-(2-Hydroxymethyl-3-Chlorophenyl)-Anthranilic Acid	atp[c] + tlf_a_m1[e] + h2o[c] -> adp[c] + tlf_a_m1[c] + h[c] + pi[c]
UidABC	TLF_A_M2abc	Predicted glucuronide ABC transporter N-(2-Hydroxymethyl-3-Chloro-4-Hydroxyphenyl)-Anthranilic Acid	atp[c] + tlf_a_m2[e] + h2o[c] -> adp[c] + tlf_a_m2[c] + h[c] + pi[c]
UidABC	TLF_A_M3abc	Predicted glucuronide ABC transporter N-(2-Formyl-3-Chlorophenyl) Anthranilic Acid	atp[c] + tlf_a_m3[e] + h2o[c] -> adp[c] + tlf_a_m3[c] + h[c] + pi[c]
UidABC	TLF_A_M4Aabc	Predicted glucuronide ABC transporter Tolfenamic Acid M4A	atp[c] + tlf_a_m4a[e] + h2o[c] -> adp[c] + tlf_a_m4a[c] + h[c] + pi[c]
UidABC	TLF_A_M4abc	Predicted glucuronide ABC transporter N-(2-Methyl-3- Chloro-4-Hydroxyphenyl)-Anthranilic Acid	atp[c] + tlf_a_m4[e] + h2o[c] -> adp[c] + tlf_a_m4[c] + h[c] + pi[c]
UidABC	TLF_A_M5Aabc	Predicted glucuronide ABC transporter Tolfenamic Acid M5A	atp[c] + tlf_a_m5a[e] + h2o[c] -> adp[c] + tlf_a_m5a[c] + h[c] + pi[c]
UidABC	TLF_A_M5abc	Predicted glucuronide ABC transporter N-(2-Methyl-3-Chloro-5-Hydroxyphenyl)-Anthranilic Acid	atp[c] + tlf_a_m5[e] + h2o[c] -> adp[c] + tlf_a_m5[c] + h[c] + pi[c]
UidABC	TLF_A_M5Babc	Predicted glucuronide ABC transporter Tolfenamic Acid M5B	atp[c] + tlf_a_m5b[e] + h2o[c] -> adp[c] + tlf_a_m5b[c] + h[c] + pi[c]
UidABC	TLF_A_M6abc	Predicted glucuronide ABC transporter N-(2-Carboxy-3-Chlorophenyl)-Anthranilic Acid	atp[c] + tlf_a_m6[e] + h2o[c] -> adp[c] + tlf_a_m6[c] + h[c] + pi[c]
UidABC	TLF_A_M9abc	Predicted glucuronide ABC transporter N-(2-Methyl-3-Chloro-4-Metoxyphenyl)-Anthranilic Acid	atp[c] + tlf_a_m9[e] + h2o[c] -> adp[c] + tlf_a_m9[c] + h[c] + pi[c]
UidABC	TLMS_GLCabc	Predicted glucuronide ABC transporter Telmisartan Glucuronide	atp[c] + tlms_glc[e] + h2o[c] -> adp[c] + tlms_glc[c] + h[c] + pi[c]
UidABC	TOLCP_AC_GLCabc	Predicted glucuronide ABC transporter Tolcapone N-Acetyl Amino Glucuronide	atp[c] + tolcp_ac_glc[e] + h2o[c] -> adp[c] + tolcp_ac_glc[c] + h[c] + pi[c]
UidABC	TOLCP_AM_GLCabc	Predicted glucuronide ABC transporter Tolcapone Amine Glucuronide	atp[c] + tolcp_am_glc[e] + h2o[c] -> adp[c] + tolcp_am_glc[c] + h[c] + pi[c]
UidABC	TOLCP_GLCabc	Predicted glucuronide ABC transporter Tolcapone 3-Beta-D-Glucuronide	atp[c] + tolcp_glc[e] + h2o[c] -> adp[c] + tolcp_glc[c] + h[c] + pi[c]
UidABC	TPNO_1GLC_4Gabc	Predicted glucuronide ABC transporter Tempol 1-O-Glucuronide And 4-O-Glucoside	atp[c] + tpno_1glc_4g[e] + h2o[c] -> adp[c] + tpno_1glc_4g[c] + h[c] + pi[c]
UidABC	TPNO_4GLCabc	Predicted glucuronide ABC transporter Tempol 4-O-Glucuronide	atp[c] + tpno_4glc[e] + h2o[c] -> adp[c] + tpno_4glc[c] + h[c] + pi[c]
UidABC	TSACMGLUCabc	Predicted glucuronide ABC transporter thiomethyl-sulphoxide-acetaminophen-glucuronide	atp[c] + tsacmgluc[e] + h2o[c] -> adp[c] + tsacmgluc[c] + h[c] + pi[c]
UidABC	ESTRONEGLCabc	Predicted glucuronide ABC transporter Estrone-3-glucuronide	atp[c] + estroneglc[e] + h2o[c] -> adp[c] + estroneglc[c] + h[c] + pi[c]
UidABC	ESTRAABCtc	Predicted glucuronide ABC transporter estradiol-17-glucuronide	atp[c] + estradiolglc[e] + h2o[c] -> adp[c] + estradiolglc[c] + h[c] + pi[c]
UidABC	ESTRIOLGLCabc	Predicted glucuronide ABC transporter estriol-16-glucuronide	atp[c] + estriolglc[e] + h2o[c] -> adp[c] + estriolglc[c] + h[c] + pi[c]
UidABC	REGFNB_GLCabc	Predicted glucuronide ABC transporter regorafenib-glucuronide	atp[c] + regfnb_glc[e] + h2o[c] -> adp[c] + regfnb_glc[c] + h[c] + pi[c]
UidB	1HIBUPGLU_St2	Glucuronate transport in via proton symport (in),1-hydroxy S-ibuprofen-glucuronide	1hibupglu_S[e] + h[e] -> 1hibupglu_S[c] + h[c]
UidB	1HIBUPGLU_St2	Glucuronate transport in via proton symport (in),1-hydroxy S-ibuprofen-glucuronide	1hibupglu_S[e] + h[e] -> 1hibupglu_S[c] + h[c]
UidB	1HMDGLUCt2	Glucuronate transport in via proton symport 1-OH-midazolam-glucuronide	1hmdgluc[e] + h[e] -> 1hmdgluc[c] + h[c]
UidB	2HATVACIDGLUCt2	Glucuronate transport in via proton symport 2-hydroxy-atorvastatin-acyl-glucuronide	2hatvacidgluc[e] + h[e] -> 2hatvacidgluc[c] + h[c]
UidB	2HATVLACGLUCt2	Glucuronate transport in via proton symport 2-hydroxy-atorvastatin-lactone-glucuronide	2hatvlacgluc[e] + h[e] -> 2hatvlacgluc[c] + h[c]
UidB	2HIBUPGLU_St2	Glucuronate transport in via proton symport (in),2-hydroxy S-ibuprofen-glucuronide	2hibupglu_S[e] + h[e] -> 2hibupglu_S[c] + h[c]
UidB	2HIBUPGLU_St2	Glucuronate transport in via proton symport (in),2-hydroxy S-ibuprofen-glucuronide	2hibupglu_S[e] + h[e] -> 2hibupglu_S[c] + h[c]
UidB	2OH_CBZ_GLCt2	Glucuronate transport in via proton symport 2-Hydroxy Carbamazepine Glucuronide	2oh_cbz_glc[e] + h[e] -> 2oh_cbz_glc[c] + h[c]
UidB	2OH_MTZ_GLCt2	Glucuronate transport in via proton symport 2-Hydroxymetronidazole Glucuronide	2oh_mtz_glc[e] + h[e] -> 2oh_mtz_glc[c] + h[c]
UidB	3HIBUPGLU_St2	Glucuronate transport in via proton symport (in),3-hydroxy S-ibuprofen-glucuronide	3hibupglu_S[e] + h[e] -> 3hibupglu_S[c] + h[c]
UidB	3HIBUPGLU_St2	Glucuronate transport in via proton symport (in),3-hydroxy S-ibuprofen-glucuronide	3hibupglu_S[e] + h[e] -> 3hibupglu_S[c] + h[c]
